creationDate,day_of_week
1/12/22,Wednesday
1/13/22,Thursday
1/14/22,Friday
1/17/22,Monday
1/18/22,Tuesday
1/19/22,Wednesday
1/20/22,Thursday
1/21/22,Friday
1/24/22,Monday
1/25/22,Tuesday
1/26/22,Wednesday
1/27/22,Thursday
1/28/22,Friday
1/29/22,Saturday
1/31/22,Monday
2/1/22,Tuesday
2/2/22,Wednesday
2/3/22,Thursday
2/4/22,Friday
2/7/22,Monday
2/8/22,Tuesday
2/9/22,Wednesday
2/10/22,Thursday
2/11/22,Friday
2/14/22,Monday
2/15/22,Tuesday
2/16/22,Wednesday
2/17/22,Thursday
2/18/22,Friday
2/21/22,Monday
2/22/22,Tuesday
2/23/22,Wednesday
2/24/22,Thursday
2/25/22,Friday
2/28/22,Monday
3/1/22,Tuesday
3/2/22,Wednesday
3/3/22,Thursday
3/4/22,Friday
3/5/22,Saturday
3/7/22,Monday
3/8/22,Tuesday
3/9/22,Wednesday
3/10/22,Thursday
3/11/22,Friday
3/14/22,Monday
3/15/22,Tuesday
3/16/22,Wednesday
3/17/22,Thursday
3/18/22,Friday
3/21/22,Monday
3/22/22,Tuesday
3/23/22,Wednesday
3/24/22,Thursday
3/25/22,Friday
3/28/22,Monday
3/29/22,Tuesday
3/30/22,Wednesday
3/31/22,Thursday
4/1/22,Friday
4/4/22,Monday
4/5/22,Tuesday
4/6/22,Wednesday
4/7/22,Thursday
4/8/22,Friday
4/10/22,Sunday
4/11/22,Monday
4/12/22,Tuesday
4/13/22,Wednesday
4/14/22,Thursday
4/15/22,Friday
4/18/22,Monday
4/19/22,Tuesday
4/20/22,Wednesday
4/21/22,Thursday
4/22/22,Friday
4/25/22,Monday
4/26/22,Tuesday
4/27/22,Wednesday
4/28/22,Thursday
4/29/22,Friday
5/2/22,Monday
5/3/22,Tuesday
5/4/22,Wednesday
5/5/22,Thursday